id,name_zh,name_en,election_type,person_id,matched,year,cacode,constituency_id,age,political_affiliation,camp,candidate_number,occupation,nominated_at,nominate_status,votes,vote_percentage,is_won
84,朱奉慈,CHU FUNG CHEE,ordinary,2298,1,1999,C18,44,41,,其他,,大律師,,,461,19.5,FALSE
85,許清安,HUI CHING ON,ordinary,2236,1,1999,C18,44,33,,其他,,執業會計師,,,995,42,TRUE
86,王國興,WONG KWOK HING,ordinary,2237,1,1999,C19,45,50,民建聯,建制,,行政人員／作家,,,,,TRUE
87,朱漢華,CHU HON WAH,ordinary,1045,1,1999,C20,46,49,民建聯,建制,,全職區議員,,,,,TRUE
88,石貴春,,ordinary,2258,1,1999,C21,47,48,,建制,,工程顧問,,,591,25.8,FALSE
89,顏尊廉,NGAN CHUN LIM,ordinary,2259,1,1999,C21,47,51,民建聯,建制,,旅行社總監,,,1677,73.2,TRUE
90,蔡素玉,CHOY SO YUK,ordinary,2279,1,1999,C22,48,49,港進聯,建制,,商人,,,,,TRUE
91,蔡明基,,ordinary,2169,1,1999,C23,49,25,,建制,,保險經理,,,561,21.9,FALSE
92,鄭志成,CHENG CHI SING,ordinary,2363,1,1999,C23,49,40,,其他,,公司董事,,,800,31.2,FALSE
93,李汝大,LEE YU TAI DESMOND,ordinary,1244,1,1999,C23,49,54,前綫,民主,,理大院務主任,,,1173,45.8,TRUE
94,陳得偉,CHAN TAK WAI,ordinary,2364,1,1999,C24,50,40,民主會,民主,,公司董事,,,1392,66.3,TRUE
95,陳莉蓮,,ordinary,2170,1,1999,C24,50,35,,其他,,公司會計文員,,,684,32.5,FALSE
96,江子榮,KONG TZE WING,ordinary,2171,1,1999,C25,51,47,自由黨,建制,,執業會計師,,,,,TRUE
97,梁淑楨,LEUNG SUK CHING,ordinary,2239,1,1999,C26,52,47,民主黨,民主,,社區發展主任,,,1404,44.4,TRUE
98,關樂平,,ordinary,2238,1,1999,C26,52,47,,其他,,測量師行董事,,,671,21.2,FALSE
