id,name_en,name_zh,estimated_yob,yod,gender,related_organization,uuid,fc_uuid,description_zh,description_en
1833,LOK WAI CHUEN,駱偉泉,1972,,MALE,,840acb1c-24ea-4826-8479-ed6226f7862c,,,
2702,LOK Siu-luen,駱小鸞,,,FEMALE, ,23602420-5327-4f07-bbad-6a1ef8ee5026,c5745bdf-9da2-4e80-8919-ac7181b57e25,,
1281,,駱昌漢,1961,,MALE,,b8637e3a-8956-4a48-a031-7d5485fcacc7,,,
2927,LOK Chung-yau,駱松佑,,,MALE,,7ddcdf8d-0f7f-4943-b75a-d852e7b787e9,dcddceea-b27c-4f3c-92e1-9ac0b4dc5064,,
1282,LOK KIT YUNG,駱潔容,1956,,FEMALE,,0efdd9c8-e837-48e8-92e2-8725842ccb5b,,,
1702,KO CHUN KIT,高俊傑,1962,,MALE,,972be42f-0ac9-462e-8e38-8170b600f85b,,,
1192,,高家廣,1960,,MALE,,2feee33c-43f9-4b58-bec2-825d07507216,,,
1592,KO HIU WING,高曉榮,1972,,MALE,,18f0f606-744b-45f6-9813-c701aaee1294,,,
489,KO WING LUEN,高永聯,1959,,MALE,,683336ce-94b6-440c-a143-ea75b3d2a93e,,,
2788,KO Wai-kei,高維基,,,MALE,民建聯,b1f5aa1a-70c8-4fcf-a229-1c24a29c5064,e39faf1e-31cf-4c5c-a964-93ecf5fa136f,,
1025,KO TAM KAN,高譚根,1937,,MALE,,ae729354-69a3-47f0-b625-489569713e8b,,,
217,KO KAM FUNG,高錦豐,1961,,MALE,,8b5c2e60-0aee-449f-aaff-9fc55d40baf9,,,
1083,"NGAI Wai-wang, William",魏偉宏,1955,,MALE,,95d76339-cc9a-4bd3-aef6-fed658b8bb7c,,,
2027,NGAI KA HO,魏嘉豪,1991,,MALE,,d5203bc6-30ed-4d22-a163-5eb6f49ca4d4,,,
632,NGAI Kellogg,魏基樂,1973,,MALE,,7ef26d11-ccbd-4158-9e94-a9ddf6ed3cfa,,,
2806,NGAI Chi-wai,魏志偉,,,MALE,公民力量,4d92f1e2-3741-41e8-8f87-080cc8b8509b,060e0654-164c-4a47-88d5-e273f1f1afa0,,
